date,station,temperature,rainfall,sunshine,windspeed,wind_beaufort,gust,humidity,cloud,visibility,pressure,wind_direction,wind_cardinal,gust_direction,gust_cardinal
1987-05-26,Camborne,10.35,7.5,0,7,Light,22,95,7,1500,1014.6375,40,NE,90,E
1987-05-27,Camborne,11.3,0.1,0,9,Light,21,98,8,500,1016.4999999999999,320,NW,360,N
1987-05-28,Camborne,12.1,0,5.5,8,Light,19,96,6,1600,1022.8375000000001,290,WNW,280,W
1987-05-29,Camborne,12,NA,0,7,Light,20,99,7,1500,1025.6125000000002,210,SSW,210,SSW
1987-05-30,Camborne,11.55,7.1,0,11,Moderate,28,99,7,900,1020.8000000000001,200,SSW,200,SSW
1987-05-31,Camborne,12.65,0,8.6,9,Light,19,98,7,1400,1023.15,280,W,280,W
1987-06-01,Camborne,12.65,9,0.1,6,Light,16,94,7,1900,1024.2250000000001,280,W,280,W
1987-06-02,Camborne,12.75,3.9,1.4,13,Moderate,29,99,8,1100,1014.8374999999999,170,S,180,S
1987-06-03,Camborne,13.5,3.1,4.1,12,Moderate,25,98,7,1300,1007.875,220,SW,240,WSW
1987-06-04,Camborne,13.5,0.1,6.6,6,Light,14,96,6,1600,1007.6,290,WNW,280,W
1987-06-05,Camborne,11.85,25.9,0,15,Moderate,38,97,8,1200,1005.4125,190,S,200,SSW
1987-06-06,Camborne,12.35,0.2,8.1,17,Fresh,40,90,6,2200,1004.8000000000001,240,WSW,240,WSW
1987-06-07,Camborne,11.2,2.9,9.6,10,Light,21,91,6,2800,1008.7,310,NW,260,W
1987-06-08,Camborne,10.2,0.4,0.3,12,Moderate,24,92,7,2500,1009.65,330,NNW,330,NNW
1987-06-09,Camborne,10.25,1,9.9,6,Light,16,86,6,4100,1007.3375000000001,330,NNW,320,NW
1987-06-10,Camborne,9.25,NA,8.2,3,Light,10,90,5,5300,1007.5,190,S,290,WNW
1987-06-11,Camborne,10.75,1.3,6.4,3,Light,NA,93,6,3900,1014.5125,220,SW,300,WNW
1987-06-12,Camborne,10.3,0,9.3,4,Light,11,89,4,3000,1019.5249999999999,190,S,310,NW
1987-06-13,Camborne,10.4,0.8,10.8,7,Light,15,83,4,4300,1017.6,10,N,10,N
1987-06-14,Camborne,9.8,11.1,7.1,5,Light,17,91,7,4300,1012.925,190,S,160,SSE
1987-06-15,Camborne,10.4,0.2,2.1,8,Light,20,92,6,2100,1011.5624999999999,90,E,360,N
1987-06-16,Camborne,11.75,2,7.9,8,Light,19,87,6,2500,1020.8375000000001,290,WNW,270,W
1987-06-17,Camborne,12.7,0.2,1.1,10,Light,19,95,8,1700,1020.3875,290,WNW,290,WNW
1987-06-18,Camborne,12.5,9,0,12,Moderate,31,99,8,900,1013.6499999999999,260,W,190,S
1987-06-19,Camborne,12.35,NA,8.3,13,Moderate,29,95,6,1300,1005.1249999999999,330,NNW,270,W
1987-06-20,Camborne,12.35,NA,1.5,7,Light,18,98,6,2100,1015.0375000000001,280,W,280,W
1987-06-21,Camborne,13.7,2.2,10.2,6,Light,14,95,5,2100,1019.3374999999999,280,W,290,WNW
1987-06-22,Camborne,13.55,0.8,0,11,Moderate,26,99,8,1000,1021.9375,270,W,270,W
1987-06-23,Camborne,14.35,0.7,1.2,10,Light,20,99,8,1100,1024.0125,270,W,270,W
1987-06-24,Camborne,14.25,NA,2.5,7,Light,15,99,8,400,1023.1,290,WNW,280,W
1987-06-25,Camborne,14.25,3.2,0.1,8,Light,20,98,8,1300,1017.7125,220,SW,240,WSW
1987-06-26,Camborne,14,10.7,0.6,10,Light,24,100,8,1400,1014.6374999999999,270,W,180,S
1987-06-27,Camborne,15.15,0.4,0,7,Light,15,100,8,200,1015.9625000000001,230,SW,200,SSW
1987-06-28,Camborne,15.8,0.5,0,9,Light,21,100,8,0,1020.625,190,S,190,S
1987-06-29,Camborne,16.25,0.2,2.3,6,Light,15,99,7,1000,1021.8000000000001,180,S,170,S
1987-06-30,Camborne,14.2,NA,3.1,6,Light,15,96,6,2700,1023.6499999999999,280,W,270,W
1987-07-01,Camborne,12.65,0,13.9,5,Light,12,97,3,3600,1025.3375,320,NW,290,WNW
1987-07-02,Camborne,13.4,0,12,4,Light,12,97,3,4300,1026.325,20,NNE,360,N
1987-07-03,Camborne,15.3,0,15,6,Light,19,91,3,2500,1026.175,110,ESE,110,ESE
1987-07-04,Camborne,16.6,0,15.4,4,Light,13,73,3,1800,1025.9499999999998,90,E,90,E
1987-07-05,Camborne,17.8,0,15.1,5,Light,15,69,3,1800,1022.4375,70,ENE,90,E
1987-07-06,Camborne,15.95,0,12.2,6,Light,15,95,3,900,1020,330,NNW,340,NNW
1987-07-07,Camborne,16.05,0,6.5,7,Light,16,95,5,2300,1021.45,360,N,360,N
1987-07-08,Camborne,15.25,0,15.2,5,Light,13,90,2,4600,1024.3500000000001,350,N,360,N
1987-07-09,Camborne,13.65,0,1.6,4,Light,12,93,6,4900,1024.5000000000002,200,SSW,200,SSW
1987-07-10,Camborne,18.15,0.1,11.8,7,Light,16,93,4,3900,1022.1874999999999,180,S,180,S
1987-07-11,Camborne,16.8,0,9.7,10,Light,19,99,5,2400,1017.3500000000001,290,WNW,290,WNW
1987-07-12,Camborne,16,0,9.7,6,Light,14,94,4,3600,1020.1875,290,WNW,300,WNW
1987-07-13,Camborne,15.65,9.4,11.4,3,Light,9,94,4,2800,1019.05,350,N,150,SSE
1987-07-14,Camborne,16.7,3,3,3,Light,NA,98,7,700,1012.9,290,WNW,NA,NA
1987-07-15,Camborne,16.8,5.6,6.4,10,Light,28,97,7,2400,1007.4250000000001,190,S,180,S
1987-07-16,Camborne,15.25,1.4,4.9,6,Light,18,95,6,3500,1003.175,210,SSW,230,SW
1987-07-17,Camborne,13.85,3.5,4.5,5,Light,NA,95,7,3000,998.6625,320,NW,330,NNW
1987-07-18,Camborne,13.95,13.3,6.1,6,Light,NA,96,7,2600,1001.7875,260,W,260,W
1987-07-19,Camborne,14.3,1.4,1,12,Moderate,28,99,8,1000,1001.0625,310,NW,340,NNW
1987-07-20,Camborne,15.35,NA,12.9,12,Moderate,24,93,4,1000,1014.9250000000001,350,N,350,N
1987-07-21,Camborne,15,NA,5,10,Light,19,97,6,1700,1020.2750000000001,350,N,10,N
1987-07-22,Camborne,15.55,0,6.8,8,Light,20,95,5,900,1020.7375,10,N,20,NNE
1987-07-23,Camborne,15.9,0,5.6,7,Light,17,98,6,600,1022.3375,360,N,360,N
1987-07-24,Camborne,15.05,NA,0.7,8,Light,17,97,7,1100,1023.4499999999999,360,N,10,N
1987-07-25,Camborne,14.9,0,9.6,10,Light,23,88,6,4100,1024.9375,360,N,360,N
1987-07-26,Camborne,15.4,NA,2.9,10,Light,21,97,6,2600,1025.075,320,NW,280,W
1987-07-27,Camborne,16.55,NA,1.3,12,Moderate,23,98,7,1300,1021.9625000000001,290,WNW,310,NW
1987-07-28,Camborne,16.7,0.1,0.5,10,Light,20,98,7,1600,1021.4125,310,NW,290,WNW
1987-07-29,Camborne,16.45,0,5.9,12,Moderate,25,100,7,1800,1016.0125,330,NNW,280,W
1987-07-30,Camborne,15.8,NA,2.6,11,Moderate,22,96,6,3400,1021.4750000000001,350,N,360,N
1987-07-31,Camborne,16.85,NA,1,11,Moderate,24,100,8,500,1022.0999999999999,290,WNW,290,WNW
1987-08-01,Camborne,16.8,1.1,7.1,12,Moderate,28,98,6,2100,1021.3875,270,W,NA,NA
1987-08-02,Camborne,16.7,2.2,4.3,12,Moderate,30,98,8,700,1017.4,270,W,270,W
1987-08-03,Camborne,15.75,0,8.9,10,Light,26,100,6,2500,1016.4749999999999,260,W,260,W
1987-08-04,Camborne,14.4,0,13.3,6,Light,19,95,4,6300,1022.8375000000001,360,N,10,N
1987-08-05,Camborne,13.9,0,12.9,6,Light,16,89,2,6200,1025.0875,20,NNE,10,N
1987-08-06,Camborne,14,1.8,11.9,7,Light,19,80,4,4700,1018.0375,10,N,10,N
1987-08-07,Camborne,13.75,0,2.2,3,Light,NA,93,7,3900,1014.2,350,N,30,NNE
1987-08-08,Camborne,12.55,0.1,0.2,4,Light,13,93,5,3800,1016.55,340,NNW,340,NNW
1987-08-09,Camborne,14.5,0,9.8,7,Light,18,91,5,2800,1018.1,320,NW,320,NW
1987-08-10,Camborne,14.2,1.5,12.5,5,Light,16,92,4,4200,1019.95,200,SSW,270,W
1987-08-11,Camborne,14.95,4,0,11,Moderate,28,97,8,1500,1016.7125,180,S,180,S
1987-08-12,Camborne,16.1,1,8.8,7,Light,20,99,6,3000,1015.7375,190,S,220,SW
1987-08-13,Camborne,17.75,0.5,1.3,10,Light,23,100,7,1700,1013.9999999999999,210,SSW,220,SW
1987-08-14,Camborne,15.95,0,11.3,6,Light,15,98,4,4100,1017.8625000000001,270,W,270,W
1987-08-15,Camborne,16.6,0,12.6,4,Light,NA,98,2,4900,1021.3125,170,S,180,S
1987-08-16,Camborne,16.85,NA,8.9,4,Light,13,95,4,2600,1018.3625,140,SE,360,N
1987-08-17,Camborne,17.9,0.5,8.7,5,Light,17,97,6,2900,1014.9625000000001,290,WNW,290,WNW
1987-08-18,Camborne,17.9,0.2,3.6,7,Light,19,99,7,3100,1017.5374999999999,260,W,280,W
1987-08-19,Camborne,17.85,0.4,1.9,8,Light,20,99,7,1800,1018.875,170,S,190,S
1987-08-20,Camborne,18.6,NA,4.5,13,Moderate,29,97,7,1300,1015.2874999999999,190,S,180,S
1987-08-21,Camborne,18.85,7.5,0.1,7,Light,19,97,8,1000,1012.7375000000002,180,S,180,S
1987-08-22,Camborne,17.35,0,3.4,5,Light,15,98,7,1900,1009.8749999999999,300,WNW,310,NW
1987-08-23,Camborne,15.55,1.1,12.3,8,Light,21,91,4,4200,1010.1,350,N,360,N
1987-08-24,Camborne,15.95,NA,3.2,10,Light,24,90,6,2000,1013.2624999999999,340,NNW,340,NNW
1987-08-25,Camborne,15.85,5.5,11.9,10,Light,26,90,5,3000,1014.2499999999999,320,NW,300,WNW
1987-08-26,Camborne,14.2,2.7,3.4,15,Moderate,31,94,6,3000,1010.5875000000001,350,N,260,W
1987-08-27,Camborne,14.7,0,5.7,13,Moderate,35,87,6,2700,1021.25,350,N,360,N
1987-08-28,Camborne,13.85,0,8.9,5,Light,16,98,4,3400,1027.825,280,W,270,W
1987-08-29,Camborne,14.8,NA,9,6,Light,17,94,5,3100,1026.3625,340,NNW,350,N
1987-08-30,Camborne,16.3,0,7.7,9,Light,32,99,4,1200,1022.225,90,E,90,E
1987-08-31,Camborne,16.5,3.9,3.6,21,Fresh,39,91,5,500,1015.1625,100,E,100,E
1987-09-01,Camborne,16.7,0.2,0,4,Light,NA,100,8,500,1014.25,320,NW,110,ESE
1987-09-02,Camborne,17.3,3.5,2.5,6,Light,21,100,8,700,1016.525,190,S,NA,NA
1987-09-03,Camborne,17.55,0.1,7.8,12,Moderate,27,98,6,1600,1013.15,180,S,180,S
1987-09-04,Camborne,15.35,13.8,8.1,11,Moderate,30,87,6,2700,1016.4999999999999,200,SSW,200,SSW
1987-09-05,Camborne,15.7,0.3,8.9,13,Moderate,78,97,5,2100,1010.3249999999999,270,W,220,SW
1987-09-06,Camborne,15.15,11.8,0,13,Moderate,35,97,7,1800,1014.9875000000001,210,SSW,170,S
1987-09-07,Camborne,15.25,0.2,0.1,3,Light,NA,98,7,2000,1018.6125000000002,250,WSW,320,NW
1987-09-08,Camborne,13.85,1.8,2.2,2,Light,NA,99,6,3300,1021.875,170,S,310,NW
1987-09-09,Camborne,13.9,NA,3.8,10,Light,29,98,6,3700,1018.2375000000001,190,S,200,SSW
1987-09-10,Camborne,15.15,NA,8.2,10,Light,24,89,6,4000,1016.625,240,WSW,260,W
1987-09-11,Camborne,16.15,1.9,0.3,17,Fresh,46,98,7,2000,1011.05,180,S,170,S
1987-09-12,Camborne,16.5,6,0,12,Moderate,38,98,8,1400,1007.9749999999999,230,SW,210,SSW
1987-09-13,Camborne,14.25,0.3,1.7,2,Light,NA,98,7,2500,1012.475,320,NW,320,NW
1987-09-14,Camborne,14.25,NA,9.7,8,Light,25,94,4,3900,1018.7624999999999,200,SSW,260,W
1987-09-15,Camborne,14.2,1,1.2,7,Light,20,94,7,3500,1023.2499999999999,170,S,170,S
1987-09-16,Camborne,15.05,0.4,0.1,10,Light,22,97,8,1700,1020.175,100,E,100,E
1987-09-17,Camborne,16.6,0.4,0.1,10,Light,23,100,8,500,1018.1,210,SSW,250,WSW
1987-09-18,Camborne,15.5,2.5,9.1,7,Light,19,99,7,3100,1024.8874999999998,350,N,360,N
1987-09-19,Camborne,16.3,0.3,4,10,Light,31,95,6,2000,1017.9625,110,ESE,110,ESE
1987-09-20,Camborne,15.85,0.1,0,8,Light,21,100,6,200,1012.9250000000001,210,SSW,NA,NA
1987-09-21,Camborne,17.15,3.8,0.5,16,Moderate,33,97,8,700,1007.7750000000001,180,S,180,S
1987-09-22,Camborne,14.15,4.2,8.8,9,Light,26,92,3,3200,1012.575,200,SSW,200,SSW
1987-09-23,Camborne,14.55,2.9,4.9,10,Light,26,90,5,3100,1008.4375,220,SW,220,SW
1987-09-24,Camborne,13.55,0.2,8.7,9,Light,25,89,3,4500,1008.9,250,WSW,280,W
1987-09-25,Camborne,10.6,0.2,9.6,6,Light,17,93,3,6000,1009.8125,350,N,350,N
1987-09-26,Camborne,10.2,0.1,8.7,7,Light,26,86,3,5500,1015.2125,50,NE,360,N
1987-09-27,Camborne,11.25,0,3.7,4,Light,13,89,5,4600,1025.375,60,ENE,350,N
1987-09-28,Camborne,10.55,NA,0.4,2,Light,NA,78,6,3400,1028.1750000000002,90,E,350,N
1987-09-29,Camborne,11.15,0,8.6,9,Light,25,81,2,1700,1027.2625,90,E,90,E
1987-09-30,Camborne,11.8,0,3.7,10,Light,30,88,6,2400,1020.4250000000001,120,ESE,120,ESE
1987-10-01,Camborne,12.65,0,8.2,9,Light,24,87,4,1700,1018.55,110,ESE,120,ESE
1987-10-02,Camborne,13.8,12.2,0.3,13,Moderate,32,94,6,400,1015.475,90,E,90,E
1987-10-03,Camborne,14.45,14,0,14,Moderate,37,99,8,200,1014.9625000000001,80,E,90,E
1987-10-04,Camborne,15,NA,6.5,13,Moderate,28,98,5,1500,1009.1125,140,SE,110,ESE
1987-10-05,Camborne,15.3,6.3,4.8,14,Moderate,35,94,6,2100,1001.1,140,SE,170,S
1987-10-06,Camborne,12.45,20.5,7.3,13,Moderate,41,93,6,2800,1001.325,270,W,300,WNW
1987-10-07,Camborne,12.25,12.8,1.4,17,Fresh,44,99,7,1500,991.3999999999999,220,SW,NA,NA
1987-10-08,Camborne,10.75,7,5.9,21,Fresh,52,89,6,2000,998.225,290,WNW,290,WNW
1987-10-09,Camborne,10.65,11.4,0,14,Moderate,34,91,8,1800,997.6625,200,SSW,190,S
1987-10-10,Camborne,9.35,5.2,6.3,13,Moderate,32,76,6,3900,996.1249999999999,330,NNW,310,NW
1987-10-11,Camborne,8.85,2.1,2.9,8,Light,19,91,6,4700,1000.6875000000001,170,S,170,S
1987-10-12,Camborne,11.2,2.2,5.3,9,Light,23,95,4,3600,1003.5250000000001,220,SW,210,SSW
1987-10-13,Camborne,10.35,4.8,7.1,13,Moderate,34,93,4,2600,1001.0375,230,SW,260,W
1987-10-14,Camborne,8.9,14.9,0,13,Moderate,36,95,6,2000,993.6,150,SSE,110,ESE
1987-10-15,Camborne,8.45,30.2,0,11,Moderate,53,93,7,4000,980.55,40,NE,NA,NA
1987-10-16,Camborne,9.65,0.6,7.4,16,Moderate,59,97,5,3600,988.575,220,SW,320,NW
1987-10-17,Camborne,10.8,15.7,5.6,18,Fresh,55,95,6,3100,1008.375,170,S,180,S
1987-10-18,Camborne,12.8,36.4,0,21,Fresh,54,98,8,1200,1003.4875,180,S,180,S
1987-10-19,Camborne,12.9,12.3,0.2,12,Moderate,36,99,8,1200,1004.7875,160,SSE,170,S
1987-10-20,Camborne,11.45,1.3,4.4,4,Light,14,99,5,1900,1005.2624999999998,160,SSE,NA,NA
1987-10-21,Camborne,10.25,0.6,5.1,10,Light,29,96,6,3900,1007.225,290,WNW,290,WNW
1987-10-22,Camborne,9.15,0,7.7,NA,NA,NA,89,3,5100,1017.375,190,S,220,SW
1987-10-23,Camborne,7.85,0,9.1,4,Light,15,84,2,5700,1021.4,50,NE,10,N
1987-10-24,Camborne,7.3,0,9.2,3,Light,NA,79,1,4800,1025.5749999999998,80,E,80,E
1987-10-25,Camborne,7.95,0,8.6,6,Light,19,93,2,2000,1025.3999999999999,140,SE,180,S
1987-10-26,Camborne,9.7,6.8,0,9,Light,19,92,6,1100,1017.7714285714285,170,S,170,S
1987-10-27,Camborne,10.5,7.4,0,9,Light,29,96,7,1600,1010.35,310,NW,320,NW
1987-10-28,Camborne,8.45,NA,7.8,8,Light,22,87,2,5200,1018.3857142857142,170,S,140,SE
1987-10-29,Camborne,9.85,1,0.3,14,Moderate,29,89,7,3000,1014.342857142857,140,SE,140,SE
1987-10-30,Camborne,11.5,9.3,0,13,Moderate,28,95,7,900,1010.6142857142858,130,SE,120,ESE
1987-10-31,Camborne,11.95,3.5,0.6,5,Light,17,100,7,800,1014.2142857142859,150,SSE,310,NW
NA,Camborne,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Camborne,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Camborne,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Camborne,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1987-05-01,Heathrow,14.6,1.6,NA,NA,NA,NA,96,7,1300,1016.5291666666668,210,SSW,230,SW
1987-05-02,Heathrow,8.75,1.9,NA,NA,NA,NA,97,4,2500,1013.8083333333337,250,WSW,290,WNW
1987-05-03,Heathrow,7.2,2.2,NA,NA,NA,NA,91,5,2100,1023.2708333333335,340,NNW,330,NNW
1987-05-04,Heathrow,7.25,0,NA,NA,NA,NA,82,2,2800,1031.825,350,N,10,N
1987-05-05,Heathrow,10.1,0,NA,NA,NA,NA,76,7,2400,1033.1375,330,NNW,20,NNE
1987-05-06,Heathrow,11.85,0,NA,NA,NA,NA,94,4,1100,1032.3333333333333,320,NW,290,WNW
1987-05-07,Heathrow,12.15,0,NA,NA,NA,NA,91,2,1900,1030.9499999999996,20,NNE,30,NNE
1987-05-08,Heathrow,12.1,0,NA,NA,NA,NA,95,0,1300,1025.7291666666665,180,S,190,S
1987-05-09,Heathrow,15.15,0,NA,NA,NA,NA,93,3,1200,1015.8208333333333,0,N,220,SW
1987-05-10,Heathrow,11.05,NA,NA,NA,NA,NA,77,5,3200,1015.1999999999999,320,NW,350,N
1987-05-11,Heathrow,10.55,2.5,NA,NA,NA,NA,96,7,1900,1011.4833333333332,240,WSW,220,SW
1987-05-12,Heathrow,12.65,2.8,NA,NA,NA,NA,95,6,1900,1001.7041666666668,290,WNW,310,NW
1987-05-13,Heathrow,8.9,9.9,NA,NA,NA,NA,94,4,2300,1010.8624999999998,280,W,290,WNW
1987-05-14,Heathrow,9.95,5.2,NA,NA,NA,NA,96,7,2000,1002.3083333333334,310,NW,240,WSW
1987-05-15,Heathrow,9.45,0.3,NA,NA,NA,NA,91,6,1500,1007.8250000000002,330,NNW,310,NW
1987-05-16,Heathrow,9.3,NA,NA,NA,NA,NA,92,6,2100,1013.9416666666667,270,W,190,S
1987-05-17,Heathrow,10.85,4.7,NA,NA,NA,NA,96,8,2200,1012.0291666666667,210,SSW,200,SSW
1987-05-18,Heathrow,10.65,2.2,1.2,7,Light,21,97,8,1100,1011.5833333333331,360,N,360,N
1987-05-19,Heathrow,11.9,0,7.4,6,Light,23,91,5,1600,1022.3416666666667,360,N,360,N
1987-05-20,Heathrow,9.45,0.1,10,6,Light,20,81,5,2600,1029.575,350,N,360,N
1987-05-21,Heathrow,10.35,0.1,3.6,8,Light,27,86,6,2200,1025.6249999999998,350,N,350,N
1987-05-22,Heathrow,9.7,5.9,2.6,8,Light,23,88,6,1600,1021.0541666666664,30,NNE,50,NE
1987-05-23,Heathrow,9.8,2.5,0,5,Light,14,92,8,1000,1019.8041666666667,40,NE,40,NE
1987-05-24,Heathrow,13.05,0,5.9,9,Light,21,92,6,1300,1017.333333333333,80,E,90,E
1987-05-25,Heathrow,12.55,0,0.9,3,Light,13,89,6,800,1019.4041666666667,70,ENE,60,ENE
1987-05-26,Heathrow,15.85,0.3,5.1,7,Light,24,95,7,800,1016.3999999999997,50,NE,90,E
1987-05-27,Heathrow,14.9,0,12.3,5,Light,12,82,7,2000,1014.6583333333336,20,NNE,90,E
1987-05-28,Heathrow,13.45,NA,3.4,4,Light,15,93,6,700,1018.2500000000001,270,W,320,NW
1987-05-29,Heathrow,14.2,0,10.4,6,Light,16,93,5,2400,1022.8208333333332,290,WNW,270,W
1987-05-30,Heathrow,16.75,11.9,5.8,8,Light,26,94,7,2900,1020.5416666666669,220,SW,210,SSW
1987-05-31,Heathrow,16.15,0,7.9,5,Light,19,99,6,2000,1019.3583333333335,250,WSW,260,W
1987-06-01,Heathrow,15.4,NA,7.7,6,Light,18,91,7,2300,1021.0708333333333,250,WSW,240,WSW
1987-06-02,Heathrow,13.7,3.7,0,6,Light,20,96,8,1200,1016.3125000000001,180,S,210,SSW
1987-06-03,Heathrow,14.75,0.3,2.7,7,Light,21,93,7,2000,1006.5708333333331,210,SSW,270,W
1987-06-04,Heathrow,15.5,13.2,6.7,5,Light,23,96,6,1800,1005.375,210,SSW,340,NNW
1987-06-05,Heathrow,11.7,6.5,0,7,Light,23,96,7,1000,1008.8000000000001,130,SE,170,S
1987-06-06,Heathrow,14.2,NA,7.8,15,Moderate,40,95,6,2400,1002.9833333333335,210,SSW,190,S
1987-06-07,Heathrow,13.95,2.2,4.9,9,Light,28,81,6,3600,1004.1708333333332,230,SW,200,SSW
1987-06-08,Heathrow,12.05,4.2,0.3,4,Light,15,95,8,1600,1003.7708333333334,270,W,270,W
1987-06-09,Heathrow,11.25,1.9,0.2,3,Light,16,97,7,900,1004.3458333333332,40,NE,250,WSW
1987-06-10,Heathrow,11.3,2.8,8.7,4,Light,20,99,6,2600,1007.2291666666665,180,S,150,SSE
1987-06-11,Heathrow,13.85,3.6,3.3,3,Light,14,97,7,1000,1012.8125,290,WNW,280,W
1987-06-12,Heathrow,12.45,NA,8.7,3,Light,12,97,4,1900,1018.0750000000002,270,W,240,WSW
1987-06-13,Heathrow,12.95,NA,6,4,Light,16,92,5,1300,1014.4458333333332,350,N,310,NW
1987-06-14,Heathrow,13.85,0.3,5.5,4,Light,14,92,6,2400,1012.1833333333334,120,ESE,160,SSE
1987-06-15,Heathrow,12.15,NA,4.2,5,Light,21,97,6,1200,1010.9249999999998,20,NNE,50,NE
1987-06-16,Heathrow,11.7,5.5,10.3,5,Light,21,91,5,2300,1018.0583333333334,320,NW,280,W
1987-06-17,Heathrow,12.6,3.6,2.8,5,Light,21,97,7,1600,1015.7541666666667,320,NW,350,N
1987-06-18,Heathrow,13.45,7.3,2.6,5,Light,18,96,6,2100,1012.8833333333336,250,WSW,190,S
1987-06-19,Heathrow,13.8,1.7,0.1,8,Light,26,99,8,1300,999.7541666666666,350,N,340,NNW
1987-06-20,Heathrow,14.4,2.8,8.7,5,Light,20,92,5,1900,1012.3291666666664,240,WSW,350,N
1987-06-21,Heathrow,14.9,NA,4.6,4,Light,15,97,6,2800,1017.1625,210,SSW,260,W
1987-06-22,Heathrow,13.2,3.8,2.9,5,Light,18,96,7,1500,1019.5541666666669,240,WSW,280,W
1987-06-23,Heathrow,15.8,0.2,0.1,4,Light,15,100,7,1000,1020.6624999999999,260,W,250,WSW
1987-06-24,Heathrow,15.5,1.5,8,6,Light,21,96,5,2200,1019.6166666666667,300,WNW,320,NW
1987-06-25,Heathrow,14.4,4.5,0.2,6,Light,18,95,7,1300,1015.7791666666668,210,SSW,210,SSW
1987-06-26,Heathrow,16.7,0.3,3.6,6,Light,16,95,7,2200,1013.1791666666664,230,SW,260,W
1987-06-27,Heathrow,17.9,NA,0.1,8,Light,16,96,8,2100,1015.2458333333334,200,SSW,250,WSW
1987-06-28,Heathrow,21,NA,2.5,9,Light,21,96,7,2600,1021.1583333333334,200,SSW,210,SSW
1987-06-29,Heathrow,23.15,0,9.4,6,Light,17,95,5,2200,1021.3791666666666,200,SSW,200,SSW
1987-06-30,Heathrow,20.9,0,10.3,6,Light,19,88,5,4000,1021.0791666666668,270,W,270,W
1987-07-01,Heathrow,16.1,0,10.6,5,Light,16,90,5,3400,1022.8166666666665,280,W,270,W
1987-07-02,Heathrow,16.6,0,9.5,5,Light,14,84,6,2400,1025.5041666666666,360,N,110,ESE
1987-07-03,Heathrow,18,0,13.3,5,Light,16,92,3,1800,1026.6458333333333,90,E,140,SE
1987-07-04,Heathrow,19.05,0,14.6,4,Light,16,81,2,2600,1026.2749999999999,90,E,120,ESE
